"aid","prefix","givennames","lname","suffix","lived","birthdate","birthplace","birthlat","birthlong","deathdate","deathplace","deathlat","deathlong","note"
"1",NA,,"Unknown",NA,,,,,,,,,,NA
"2",,"Edwin A.","Abbott",,"1838-1926","1838-12-20","Marylebone, Middlesex, England","51.5200231","-0.1380332","1926-10-12","London, England","51.5073346","-0.1276831",
"3",,"Gottfried","Achenwall",,"1719-1772","1719-10-20","Elbing, Germany","51.448578","7.9827293","1772-05-01","G&ouml;ttingen, Germany","51.538352","9.9296899",
"4",,"Howard H.","Aiken",,"1900-1973","1900-03-09","Hoboken, NJ, USA","40.7439905","-74.0323626","1973-03-14","St Louis, MO, USA","38.6270025","-90.1994042",
"5",,,"American Society of Mechanical Engineers",,"1880-","1880",,,,,,,,"Founded in 1880"
"6",,,"American Statistical Association",,"1839-","1839","Boston, USA","42.3584308","-71.0597732",,,,,"Founded in 1839"
"8",,,"Anaximander of Miletus",,"610BC-546BC",,"Miletus, Ancient Greece","38.2833333","26.1",,"Miletus, Ancient Greece","38.2833333","26.1","Miletus is now Aydin Province, Turkey"
"9",,"Edgar","Anderson",,"1897-1969","1897-11-09","Forestville, NY, USA","42.4683919","-79.1769847","1969-06-18","St. Louis, Missouri, USA","38.6270025","-90.1994042",
"11",,"David F.","Andrews",,,,"Canada","56.130366","-106.346771",,,,,
"12",,"Adolphe d&#039;","Angeville",,"1796-1856","1796-05-20","Lompnes, France","45.9769859","5.6017849","1856-05-26","Lompnes, France","45.9769859","5.6017849",
"13",,"John","Arbuthnot",,"1667-1735","1667-04-01","Inverbervie, Kincardine, Scotland","56.068958","-3.716692","1735-02-27","London, England","51.5073346","-0.1276831",
"14",,"Daniel","Asimov",,,,,,,,,,,
"16",,"Leonard Porter","Ayres",,"1879-1946","1879-09-15","Niantic, Connecticut, USA","41.3253756","-72.1931338","1946-10-29","Cleveland, Ohio, USA","41.4994954","-81.6954088",
"17",,"Charles","Babbage",,"1791-1871","1791-12-26","London, England","51.5073346","-0.1276831","1871-10-18","London, England","51.5073346","-0.1276831",
"18",,"Roberto","Bachi",,"1909-1995","1909","Rome, Italy","41.8905198","12.4942486","1995-11-26",,,,
"19",,"John","Backus",,"1924-2007","1924-12-03","Philadelphia, PA, USA","39.952335","-75.163789","2007-03-17","Ashland, OR, USA","42.1945758","-122.7094767",
