"miid","type","url","title","caption","source","mid"
"1","link","http://cnx.rice.edu/content/m11970/latest/tres_epistolae.gif","Sunspot plate from Scheiner&#039;s &quot;Tres Epistolae&#039;&#039;",NA,NA,"35"
"2","link","http://cours.cegep-st-jerome.qc.ca/530-gjb-p.l/lumiere.htm","Images: Auguste et Louis Lumi&egrave;re, le cin&eacute;matographe Lumi&egrave;re",NA,NA,"173"
"3","link","http://diagrams.org/images/png/medium/f00022.png","Modern London tube map following Beck",NA,NA,"209"
"5","link","http://psychclassics.yorku.ca/Thurstone/fig4.gif","Factorial diagram for study of radicalism and attitudes",NA,NA,"202"
"6","link","http://web.utk.edu/~glenn/AmsFranceWWI.gif","American Divisions in France, WWI, from",NA,NA,"194"
"8","link","http://www.accad.ohio-state.edu/~waynec/history/images/tabulator.gif","Hollerith tabulator machine for census bureau",NA,NA,"164"
"10","link","http://www.cas.lancs.ac.uk/alcd/visual/animate.gif","Animated 3D lexis pencil, from Brian Francis",NA,NA,"267"
"11","link","http://www.cs.indiana.edu/hyplan/tkeahey/research/nlm/images/introImage.gif","Fisheye view of central Washington, D.C.",NA,NA,"250"
"12","link","http://www.fceia.unr.edu.ar/dibujo/pto-rta-plano.htm","Monge&#039;s system of multiple projections",NA,NA,"73"
"13","link","http://www.fi.uu.nl/wiskrant/artikelen/hist_grafieken/begin/images/planeten.gif","Planetary movements diagram",NA,NA,"9"
"14","link","http://www.henry-davis.com/MAPS/LMimages/235C.jpg","Catalan Atlas, detail: Europe, North Africa",NA,NA,"13"
"16","link","http://www.journals.uchicago.edu/Isis/journal/demo/v000n000/000000/fg1.h.gif","Henderson nomogram image",NA,NA,"203"
"19","link","http://www.journals.uchicago.edu/Isis/journal/demo/v000n000/000000/fg3.gif","Sylvester&#039;s diagram image",NA,NA,"154"
"28","link","http://www.peoples.ru/state/detective/bertillon/photo.html","Bertillon images (russian)",NA,NA,"160"
"29","link","http://www.philart.de/articles/images/isotype5.jpg","Isotype figure",NA,NA,"198"
"33","link","http://www.thebakken.org/artifacts/database/imagebase/098-022-016.jpg","EEG machine",NA,NA,"205"
"34","link","http://www.unh.edu/esci/indexmap.html","Smith&#039;s map, in zoomable sections",NA,NA,"90"
"35","link","http://www.uni-mannheim.de/fakul/psycho/irtel/colsys/Harris.html","Moses Harris&#039; prismatic colour mixture system, from",NA,NA,"67"
"36","link","http://www.uni-mannheim.de/fakul/psycho/irtel/colsys/Lambert.html","Johann Heinrich Lambert&#039;s color pyramid, from",NA,NA,"67"
"37","link","http://www.uni-mannheim.de/fakul/psycho/irtel/colsys/Mayer.html","Tobias Mayer&#039;s colour pyramid, from",NA,NA,"67"
"40","image","uploads/images/1533Armillar.jpg","Image from Peter Apianius Cosmographia, edited by Gemma Frissius",NA,NA,"18"
"41","image","uploads/images/1626scheiner.jpg","Apparatus for recording sunspots",NA,NA,"35"
"42","image","uploads/images/G-F_triangulation.jpg","Gemma-Frisius Diagram of triangulation",NA,NA,"18"
"44","image","uploads/images/Lalanne.jpg","Lalanne&#039;s Universal Calculator",NA,NA,"121"
"45","image","uploads/images/LallemandAbaque.jpg","Lallemand&#039;s &quot;L&#039;Abaque Triomphe&#039;&#039;",NA,NA,"162"
"46","image","uploads/images/Lambert1765-evaporation.jpg","Graph of evaporation of water vs. time",NA,NA,"72"
"47","image","uploads/images/Robinson/viandes.jpg","Pie-map showing origin of meats consumed in Paris",NA,NA,"123"
"48","image","uploads/images/angeville1.jpg","Population of France, Carte 1",NA,NA,"111"
"49","image","uploads/images/angeville5.jpg","Taille, Carte 5",NA,NA,"111"
"50","image","uploads/images/arbuthnot11.gif","Graph of the sex ratio from 1620--1710",NA,NA,"55"
"51","image","uploads/images/beck1933-undergroundmap.jpg","Beck&#039;s initial underground map",NA,NA,"209"
"52","image","uploads/images/biplot.gif","Biplot representation of blood chemistry data",NA,NA,"229"
"53","image","uploads/images/booth.gif","Booth&#039;s poverty map, larger",NA,NA,"171"
"60","image","uploads/images/buache.jpg","Buache&#039;s 1770 Carte physique ou Geographie naturelle de la France",NA,NA,"65"
"61","image","uploads/images/cromeh.jpg","Crome&#039;s 1820 Verhaeltness Karte",NA,NA,"79"
"62","image","uploads/images/daguerre454bg.jpg","Daguerre, Parisian Boulevard",NA,NA,"116"
"63","image","uploads/images/dan/anderson_glyphs1.jpg","Use of metroglyphs in a graph",NA,NA,"215"
"64","image","uploads/images/dan/anderson_glyphs2.jpg","Diagramming variables in more than 3 dimensions",NA,NA,"215"
"65","image","uploads/images/dan/brushing_fig14.jpg","Figure 14 from &quot;Brushing scatterplots&#039;&#039; showing interactive labeling of brushed points",NA,NA,"259"
"66","image","uploads/images/dan/dubourg_scroll.jpg","Dubourg scroll, closed",NA,NA,"66"
"67","image","uploads/images/dan/dubourg_scroll_opened.jpg","Dubourg scroll, opened (",NA,NA,"66"
"73","image","uploads/images/dan/neurath_symbols3.jpg","Births and deaths in Germany, from",NA,NA,"198"
"74","image","uploads/images/dan/neurath_symbols4.jpg","Infant mortality and social position in Vienna, from",NA,NA,"198"
"75","image","uploads/images/dan/neurath_symbols5.jpg","Number of men living in Europe, from",NA,NA,"198"
"77","image","uploads/images/dan/quetelet-binomial.jpg","Quetelet&#039;s graph of a binomial distribution, 999 trials",NA,NA,"122"
"78","image","uploads/images/dan/washburne_income.jpg","Graphical image used by Washburne: Income",NA,NA,"201"
"79","image","uploads/images/dan/washburne_pop_florence.jpg","Graphical image used by Washburne: Population of Florence",NA,NA,"201"
"80","image","uploads/images/df-booth_map.jpg","Portion of Booth&#039;s poverty map",NA,NA,"171"
"81","image","uploads/images/dupin1826-map_200.jpg","Dupin choropleth map of literacy in France",NA,NA,"99"
"82","image","uploads/images/dupin2.gif","Dupin cartogram map of France",NA,NA,"99"
"83","image","uploads/images/ethnographical-map-1843-prichard-africa.jpg","Ethnographical map of Africa",NA,NA,"119"
"84","image","uploads/images/ethnographical-map-1843-prichard-europe.jpg","Ethnographical map of Europe",NA,NA,"119"
"85","image","uploads/images/faraday-iron_filings.jpg","Faraday&#039;s iron filing diagrammes, the earliest ever made",NA,NA,"104"
"86","image","uploads/images/fisher-trilinear.png","Plot on trilinear graph paper by R. A. Fisher, ca. 1955",NA,NA,"142"
"87","image","uploads/images/fisheye-map.gif","Fisheye view of central Washington, D.C.",NA,NA,"250"
"96","image","uploads/images/halley1866a-1.jpg","Halley&#039;s wind map, section 1 detail",NA,NA,"49"
"97","image","uploads/images/halley1893-fig7.jpg","Halley 1893 2D diagram",NA,NA,"52"
"98","image","uploads/images/halley1893-fig8.jpg","Halley 1893 3D diagram",NA,NA,"52"
"99","image","uploads/images/halleygraph.gif","Halley&#039;s graph of change in barometric pressure",NA,NA,"48"
"100","image","uploads/images/halleyweathermap-1686.jpg","Halley&#039;s wind map, 1686",NA,NA,"49"
"101","image","uploads/images/harness-flow.gif","Harness flow map of transportation of passengers in Ireland",NA,NA,"113"
"104","image","uploads/images/humboldt-isothermes1817.jpg","von Humboldt isotherms, Annals de Chemie et de physique, 1817",NA,NA,"93"
"105","image","uploads/images/humboldt/humboldt1805-chimborazo.jpg","Cross-section diagram of the Chimborazo, 1805--07",NA,NA,"92"
"106","image","uploads/images/isis/fg14b.gif","Lalanne contour diagram",NA,NA,"117"
"107","image","uploads/images/isis/fg16.gif","von Humboldt isotherm",NA,NA,"93"
"108","image","uploads/images/klein/parade1913.jpg","Photograph of the Parade of Statistical Graphics",NA,NA,"184"
"109","image","uploads/images/llull-tree.jpg","Llull&#039;s tree of knowledge",NA,NA,"11"
"110","image","uploads/images/llulldisk2.jpg","Llull&#039;s mechanical disks",NA,NA,"11"
