KEY,YEAR,WHERE,SUBJECT,ASPECT
6200BCUnknown,-6200,Other,Pdem,Cart
550BCMiletus,-550,Other,Pdem,Cart
335BCPeutinger,-350,Eur,Pdem,Cart
240BCEratosthenes,-240,Other,Math,Stats
170BCparchment,-170,Pergamon,Other,Tech
134BCHipparchus,-134,Other,Pdem,Cart
105Lun,105,Other,Other,Tech
150Ptolemy,150,Other,Pdem,Cart
950Unknown,950,,Pdem,Stats
1280Llull,1280,Eur,Hdem,Stats
1305Llull,1305,Eur,Other,Stats
1350Oresme,1350,Eur,Math,Stats
1375Cresques,1375,Eur,Pdem,Cart
1450Cusa,1450,Eur,Math,Stats
1453Gutenberg,1453,Eur,Other,Tech
1500Vinci,1500,Eur,Math,Stats
1530Gemma-Frisius,1530,Eur,Math,Stats
1533Gemma-Frisius,1533,Eur,Pdem,Stats
1545Gemma-Frisius,1545,Eur,Pdem,Tech
1550Rheticus,1550,Eur,Math,Stats
1556Tartaglia,1556,Eur,Pdem,Stats
1663Cardano,1562,Eur,Math,Stats
1569Mercator,1569,Eur,Other,Cart
1570Ortelius,1570,Eur,Pdem,Cart
1572Brahe,1572,Eur,Pdem,Tech
1581Galilei,1581,Eur,Math,Stats
1600sUnknown,1605,Eur,Math,Stats
1603Nautonier,1603,Eur,Pdem,Cart
1603Scheiner,1603,Eur,Other,Tech
1614Napier,1614,Eur,Math,Stats
1617Snell,1617,Eur,Pdem,Stats
1620Gunter,1624,Eur,Math,Tech
1623Schickard,1623,Eur,Math,Tech
1626Scheiner,1626,Eur,Pdem,Cart
1632Galilei,1632,Eur,Pdem,Stats
1637Fermat,1637,Eur,Math,Stats
1644Langren,1644,Eur,Math,Stats
1646Kirscher,1646,Eur,Pdem,Tech
1654Pascal,1654,Eur,Math,Stats
1654Petty,1654,Eur,Pdem,Cart
1657Huygens,1657,Eur,Math,Stats
1663Wren,1663,Eur,Pdem,Tech
1662Graunt,1662,Eur,Pdem,Stats
1666Talon,1666,NAmer,Pdem,Stats
1669Huygens,1669,Eur,Hdem,Stats
1671Witt,1671,Eur,Pdem,Stats
1686Halley,1686,Eur,Math,Stats
1686aHalley,1686,Eur,Pdem,Cart
1687Petty,1687,Eur,Pdem,Stats
1693Halley,1693,Eur,Pdem,Stats
1693aHalley,1693,Eur,Math,Stats
1701Halley,1701,Eur,Pdem,Cart
1710Blon,1710,Eur,Pdem,Tech
1711Arbuthnot,1711,Eur,Pdem,Stats
1712Hauksbee,1712,Eur,Pdem,Stats
1724Cruquius,1724,Eur,Pdem,Stats
1727Schulze,1727,Eur,Pdem,Tech
1736Newton,1745,Eur,Math,Stats
1741Sussmilch,1741,Eur,Hdem,Stats
1748Achenwall,1748,Eur,Math,Stats
1750Mayer,1752,Eur,Math,Stats
1752Euler,1752,Eur,Pdem,Cart
1752Buache,1752,Eur,Pdem,Cart
1753Barbeu-Dubourg,1753,Eur,Hdem,Cart
1758Mayer,1765,Eur,Pdem,Stats
1760Lambert,1760,Eur,Math,Other
1763Bayes,1763,Eur,Math,Stats
1765Lambert,1765,Eur,Math,Stats
1765Priestley,1765,Eur,Hdem,Cart
1767Lambert,1781,Eur,Math,Stats
1776Monge,1776,Eur,Math,Stats
1778Charpentier,1778,Eur,Pdem,Cart
1779Lambert,1779,Eur,Pdem,Stats
1782Crome,1782,Eur,Pdem,Cart
1782Carla-Boniface,1782,Eur,Pdem,Cart
1782Fourcroy,1782,Eur,Hdem,Stats
1785Crome,1785,Eur,Pdem,Stats
1786Playfair,1786,Eur,Hdem,Stats
1787Chladni,1787,Eur,Other,Other
1794Buxton,1794,Eur,Math,Tech
1795Pouchet,1795,Eur,Math,Stats
1796Watt,1796,Eur,Pdem,Tech
1798Senefelder,1798,Eur,Other,Tech
1798Seaman,1798,NAmer,Hdem,Cart
1800Howard,1800,Eur,Pdem,Tech
1800Keith,1800,Eur,Pdem,Stats
1801Playfair,1801,Eur,Hdem,Stats
1801Smith,1801,Eur,Pdem,Cart
1809Gauss,1809,Eur,Pdem,Stats
1811Humboldt,1811,Eur,Pdem,Stats
1817Humboldt,1817,Eur,Pdem,Stats
1819Dupin,1819,Eur,Hdem,Cart
1820sFaraday,1825,Eur,Pdem,Other
1821Fourier,1821,Eur,Hdem,Stats
