"mid","title","date_from_numeric","date_from","date_to_numeric","date_to","tag","description","location","add_date","modified_date","status","note","extra","uid"
"1","6200BCUnknown","-6200","-6200","-6200","c. 6200 BC","Oldest known map?","&lt;p&gt;The oldest known map? (There are several claimants for this honor.)&lt;/p&gt;","Museum at Konya, Turkey","2005-10-01","2008-10-01","published",,,"2"
"2","550BCMiletus","-550","550 BC","-550","ca. 550 BC","1st world map?","&lt;p&gt;The first world map? (No extant copies, but described in books II and IV of Herodotus&#039; &quot;Histories&#039;&#039; (&lt;a href=&quot;?page=references&amp;amp;cite=Robinson:1968&quot;&gt;Robinson:1968&lt;/a&gt;)&lt;/p&gt;","Turkey","2007-02-01","2009-10-13","published",,,"2"
"3","335BCPeutinger","-366","0366 BC","-335","0335 BC","1st route map","&lt;p&gt;The first route map (&quot;carte routi&amp;egrave;re&#039;&#039;), showing the whole of the Roman world, a map from Vienna, through Italy, to Carthage; painted on parchment, 34 cm. high, by 7 m. in length. (Named the table of Peutinger, after a 16th century German collector.)&lt;/p&gt;","NA","2007-02-01","2009-07-07","published","The whole of the Roman world is reproduced on this painted parchment 34 centimetres in height and almost 7 metres in length.   Although it is the most reproduced Roman chart, the Table of Peutinger does not make it possible to perceive the extent of the cartographic work undertaken by the Romans. Land conquerors, they had a utilitary vision of geography and their cartographic representations were related to the imperial conquests. Topographers accompanied the Roman armies in their campaigns in order to recognize the conquered grounds. Information collected was used for the military needs and the development of infrastructures such as the routes, but also to describe the routes. The table of Peutinger, named after the XVI century German collector to which it was offered, was a form of very widespread geographical description. If this chart does not bring topographic information, it gives indications of distances and size of the places, very practical information for the traveller.  The North-South distances are represented on a smaller scale than the East-West distances, thus making it possible to the traveller to unfold or unroll the section which corresponded to its course.",,"7"
"4","240BCEratosthenes","-240","-240","-240","240 BC","Diameter of earth measured","&lt;p&gt;Calculation of the diameter of the earth by measuring noontime shadows at sites 800 km. apart&lt;/p&gt;","Libya","2007-02-01","2008-07-17","published","Assuming the earth is a sphere, the measured angle between the sites is seven degrees and the circumference is about 50 times 800 km., or about 40,000 km.",,"3"
"5","170BCparchment","-170","170 BC","-170","170 BC","Invention of parchment","&lt;p&gt;Invention of parchment. Parchment was superior to papyrus because it could be printed on both sides and folded.&lt;/p&gt;","Pergamon, Bergama, Turkey","2007-02-01","2009-11-09","published",,,"7"
"6","134BCHipparchus","-134","-134","-134","134 BC","Star chart","&lt;p&gt;Measurement of the year with great accuracy and building of the first comprehensive star chart with 850 stars and a luminosity, or brightness, scale; discovery of the precision of the equinoxes&lt;/p&gt;","Turkey","2007-02-01","2008-07-17","published","He seems to have been very impressed that either of two geometrically constructed hypotheses could &#039;save the appearance&#039; of the path that a planet follows",,"3"
"7","105Lun","105","105","105","105","Invention of paper","&lt;p&gt;Invention of paper, replacing (somewhat later) writing and other inscriptions on wood, cloth, stone, etc.&lt;/p&gt;","China","2007-02-01","2009-11-10","published",,,"7"
"8","150Ptolemy","90","90","150","150 ","Latitude/longitude","&lt;p&gt;Map projections of a spherical earth and use of latitude and longitude to characterize position (first display of longitude)&lt;/p&gt;","NA","2007-02-01","2009-11-15","published",,,"7"
"9","950Unknown","950","950","950","c. 950","Diagram: planetary movements","&lt;p&gt;Earliest known attempt to show changing values graphically (positions of the sun, moon, and planets throughout the year)&lt;/p&gt;","Europe","2008-07-17","2008-07-17","published",,,"1"
"10","1280Llull","1280","1280","1280","c. 1280","Diagram: paired comparisons","&lt;p&gt;Triangular diagrams of paired comparisons for electoral systems (how to elect a Pope or Mother Superior, when all the candidates are voting)&lt;/p&gt;","Spain","2006-12-03","2008-07-17","published",,,"1"
